date,Credit spread,Bond momentum,Low volatility,Equity momentum,Equity value,Equity profitability,Bond-only,Equity-derived,Combined,Combined minus bond
2002-09-30,-0.0744252108775513,0.061438753091079,0.0539414537826361,0.0566534683067994,-0.0604403616569505,0.0253182506957958,0.0136516653320546,0.007177119115214899,0.01041439222363475,-0.00323727310841985
2002-10-31,0.0175266735978904,-0.0492273035981026,-0.0032768037968953,-0.0145580888789532,0.019124644780911,0.0183979088252751,-0.011659144599035833,0.007654821575744299,-0.002002161511645767,0.009656983087390065
2002-11-30,0.1383692278472915,-0.1162244647354102,-0.1094144302639754,-0.109621927325495,0.0880614463557947,-0.0167604909539616,-0.029089889050698037,-0.0127736573078873,-0.020931773179292668,0.008158115871405369
2002-12-31,0.0070461100292067,-8.06160997130212e-05,-0.0187446336660835,0.0092675270072156,0.008000143186657,-0.0034491019104385,-0.003926379912196607,0.004606189427811367,0.00033990475780738003,0.004266284670003987
2003-01-31,0.0633677081534379,-0.024462841554285,-0.0457503345179877,-0.0214733361174173,0.0433557437042186,-0.0043911660614136,-0.0022818226396116004,0.005830413841795901,0.0017742956010921502,0.00405611824070375
2003-02-28,0.0047988812647991,0.0273543020207621,-0.017602707406236,0.0131512947912137,-0.00644482324134,-0.001742725449242,0.004850158626441735,0.0016545820335439,0.0032523703299928174,-0.0015977882964489172
2003-03-31,0.0423331362631592,0.0161816170287482,-0.0382910795252005,0.0011113999255331,0.0227190280149725,-0.0024850986551559,0.006741224588902302,0.007115109761783234,0.006928167175342768,0.00018694258644046634
2003-04-30,0.1085863213799782,0.0153832345540227,-0.0857374351481858,-0.0181858630055662,0.0649125411163982,-0.0082103877566338,0.012744040261938367,0.012838763451399402,0.012791401856668884,4.736159473051754e-05
2003-05-31,-0.0042837044712763,0.0008226173103946,-0.0149943515439911,-0.0146026001905451,-0.0232268912974486,0.0005983647353795,-0.006151812901624267,-0.012410375584204734,-0.009281094242914501,-0.003129281341290234
2003-06-30,0.0449428029418792,0.0177744178472929,-0.0253464226536697,0.0015166740839453,0.0297113166148693,-0.0066147946389622,0.012456932711834132,0.008204398686617468,0.0103306656992258,-0.002126267012608332
2003-07-31,0.0061423628763029,-0.0400704434139701,0.034992086732558,0.011725475917587,-0.0015530542474387,0.0030536992749246,0.00035466873163026574,0.004408706981690967,0.0023816878566606165,0.002027019125030351
2003-08-31,0.024726005376431,0.0135159644562767,-0.0205496916060293,-0.0081423888063006,0.0043638257063922,0.0003817490383774,0.0058974260755594666,-0.0011322713538436666,0.0023825773608579,-0.0035148487147015667
2003-09-30,0.0111548921888763,-0.0185597823684307,-0.0259817841863754,-0.0055017497399802,-0.0032845822929771,0.0057967063582015,-0.011128891455309932,-0.0009965418915852664,-0.006062716673447599,0.005066174781862333
2003-10-31,0.0425038830636987,0.0264377443569626,-0.0197607527510835,0.022170633169753,0.0175941809724192,-0.0033652377681363,0.01639362488985927,0.012133192124678635,0.01426340850726895,-0.002130216382590318
2003-11-30,0.0226819979486016,0.0021110324324633,-0.0160671919668121,-0.002553081504849,0.0087532518252143,0.0006828863234514,0.0029086128047509326,0.0022943522146055668,0.0026014825096782497,-0.00030713029507268294
2003-12-31,0.0312029927155164,0.0131927858970573,-0.024265762819292,-0.0048695926746978,0.0115574353830639,-0.0015601475037674,0.0067100052644272325,0.0017092317348662333,0.004209618499646733,-0.0025003867647804996
2004-01-31,0.0190598612465887,-0.0023764646721617,-0.0161162683974378,-0.0001830589886379,0.002418977070915,0.0023062616685775,0.00018904272566306704,0.0015140599169515335,0.0008515513213073003,0.0006625085956442333
2004-02-29,-0.0170952179298496,-0.0093334956239615,0.0058595461869256,-0.0062004575592021,-0.0047326663462365,0.0057428447910469,-0.006856389122295167,-0.0017300930381305667,-0.004293241080212867,0.0025631480420823
2004-03-31,-0.0033253175227555,0.0020435685897349,-0.0032537445352391,0.0028419075679679,-0.0009106960342255,0.0007082565277124,-0.0015118311560865666,0.0008798226871516001,-0.00031600423446748324,0.0011958269216190832
2004-04-30,0.0195423842988437,-0.001433239188716,0.0126895502858518,0.0120293257857575,0.0031592568460554,4.649150840780811e-05,0.010266231798659833,0.005078358046740236,0.007672294922700034,-0.0025939368759597993
2004-05-31,-0.0103826829504479,-0.0125248490089571,0.0135217893090375,-0.0011358952427346,-0.006787692406631,0.0011802578815692,-0.003128580883455834,-0.0022477765892654667,-0.0026881787363606502,0.0004404021470951836
2004-06-30,0.0232760897033244,0.0033913393052727,-0.0144732543889098,0.0052689871283817,0.0033431034265881,0.0015178505221553,0.0040647248732291,0.0033766470257083664,0.0037206859494687333,-0.00034403892376036645
2004-07-31,0.0025376519607025,0.0020380826593142,-0.0090246985707736,0.0075726045076472,0.0020150647285678,-0.0007626388104089,-0.0014829879835856331,0.0029416768086020333,0.0007293444125082001,0.002212332396093833
2004-08-31,0.0084397538994418,-0.0135880088456633,-0.0208700048450676,0.0030923009110618,0.0017791614928767,-0.0016082842161953,-0.008672753263763032,0.0010877260625810666,-0.0037925136005909827,0.00488023966317205
2004-09-30,0.0149402350969283,0.0023636440645871,-0.013170945310658,0.0057134586435435,0.0028443846072937,0.0019540743158452,0.0013776446169524667,0.003503972522227467,0.002440808569589967,0.0010631639526375001
2004-10-31,0.0246986232745939,0.0002403280146253,-0.02006379734436,-0.0038747731912135,0.0016318643631298,0.0008512362127641,0.001625051314953066,-0.0004638908717732001,0.000580580221589933,-0.0010444710933631331
2004-11-30,0.0297117856786704,-0.0119426281542123,-0.0121710309677116,-0.0088530347901266,0.0081655551310804,-0.0017649785057569,0.0018660421855821667,-0.000817486054934367,0.0005242780653238998,-0.001341764120258267
2004-12-31,0.0232193812442807,0.0178982618355882,-0.0237838731142402,-0.0047941242603897,0.0047836390500512,0.0011242529558781,0.005777923321876232,0.00037125591517986686,0.0030745896185280495,-0.0027033337033481827
2005-01-31,-0.0086771401911121,0.0114232369481927,-0.0027164626600125,0.0125793864288378,-0.0037551396494017,0.0012207790751747,9.87803235603313e-06,0.0033483419515369334,0.0016791099919464833,0.0016692319595904503
2005-02-28,0.0228036758839504,0.0094207901501247,-0.0106977867038888,0.0039653608468989,0.0046928814459423,0.0016966791949459,0.007175559776728765,0.003451640495929033,0.0053136001363288995,-0.0018619596403998658
2005-03-31,-0.041101658915404,-0.0170917597973411,0.0322097660726522,0.0012396007651747,-0.0138937962027786,-0.0046106578948994,-0.008661217546697636,-0.005754951110834433,-0.007208084328766034,0.0014531332179316013
2005-04-30,-0.0504873314128436,-0.0007328321849382,0.0159827406812467,0.0183791003646913,-0.0265188155663281,0.0023809515547494,-0.011745807638845035,-0.0019195878822958,-0.006832697760570417,0.004913109878274618
2005-05-31,0.0244163839306415,0.0025044835655605,-0.0210814266246825,-0.0007536413008382,0.0095418445628351,-0.0006114996429205,0.0019464802905065001,0.0027255678730254674,0.0023360240817659837,0.0003895437912594835
