factor,DFPS_OSBAP,DFPS_ICE,OSBAP_ICE,Mean_DFPS,Mean_OSBAP,Mean_ICE,SR_DFPS,SR_OSBAP,SR_ICE,p_value_DFPS_OSBAP,p_value_DFPS_ICE,p_value_OSBAP_ICE
VW_1_age,0.999078308597296,0.984635232708398,0.9855750726405935,0.3867125661771988,0.32816308962984425,0.362353720060795,0.5441839244518165,0.4636741724925926,0.5070711239803815,4.662013538395569e-15,0.3933808145069939,0.2162809806599437
VW_2_coupon,0.9921153401261898,0.9833320277152442,0.9904876422999122,0.3484210317744106,0.3402683103023788,0.3247791578882873,0.5926204835046728,0.5674733708325538,0.5526572203185071,0.6359801665524669,0.3348006544242656,0.412326084803249
VW_3_faceval,0.9769805002595982,0.9178174659228219,0.915877158816916,0.05542962244237728,0.05725350317395024,0.02915949287834572,0.15664386829711238,0.15664903284792842,0.08151835411441066,0.9184126515963836,0.42522642170996766,0.4074186438337879
VW_6_duration,0.9991558713086212,0.9853166398083145,0.9846533963243074,0.3349015920441117,0.34470874093949133,0.3058239136068851,0.4121680088491201,0.4201276545641349,0.3634619161696541,0.2132936226973454,0.3785759306404197,0.24721931703193853
VW_12_mom6,0.9971325146434739,0.9865057862886631,0.9862865379014394,0.16306377537562894,0.1433117436851899,0.1883600335710625,0.17413656135935449,0.14959201601186917,0.20485314673657593,0.2485256220899151,0.4700292764391817,0.21837614860053897
VW_13_mom6ind,0.9926042674208516,0.9827230440012925,0.9866638700355832,0.028409212030104127,0.025214609913598852,0.014004625012468302,0.06056941947952036,0.05369145781545911,0.031033094538826682,0.8151241464919051,0.49102692461017083,0.5451970563041424
VW_14_mom6xrtg,0.9965666417864728,0.9836445473902147,0.9870463721297706,0.11945413807955509,0.07932624528803155,0.11466631367916134,0.1280536729324319,0.08443375374248517,0.12851334971774347,0.024683142268423903,0.901721670087876,0.3174453896701272
VW_18_spread,0.9979965232242067,0.9943839717898977,0.9949871342150823,0.8291823654240292,0.8542989115330968,0.8974915312669869,0.6888131934777167,0.7041581234833465,0.7574347988829148,0.15416011776032193,0.02003925016014276,0.1258165194344309
VW_22_rating,0.9922240637658459,0.9848433347047139,0.9924586298232397,0.43329262012008146,0.4510855499400284,0.4091722997707043,0.4118636878074763,0.4220809570146779,0.3988539374184601,0.5586340470639826,0.5631128260643833,0.17620387110998878
VW_24_skew,0.9961883746766054,0.9811494965074956,0.9741919133503437,0.14452321652807068,0.10798385191470297,0.19004387532959963,0.31546777807125487,0.23626791208456954,0.3982334528359811,8.169852023436184e-05,0.03237664185322353,0.0009992981172446676
