sample,strategy,lags,annual_alpha_pct,t,p
Full,Bond-only,3,0.535850886398648,0.5833918630588307,0.5596295342268064
Full,Bond-only,6,0.535850886398648,0.6141830589345562,0.5390943668811212
Full,Bond-only,12,0.535850886398648,0.6820033316293403,0.49523684419533665
Full,Equity-derived,3,0.6760083394119366,1.2316651372834333,0.21807419789971882
Full,Equity-derived,6,0.6760083394119366,1.3351868857843774,0.18181518793861484
Full,Equity-derived,12,0.6760083394119366,1.3519610711860903,0.1763877689819141
Full,Combined,3,0.6059296129052918,0.8922658809606565,0.3722504374182284
Full,Combined,6,0.6059296129052918,0.94881749426382,0.34271344267945714
Full,Combined,12,0.6059296129052918,1.0205033628222795,0.3074897952125819
Full,Combined minus bond,3,0.07007872650664379,0.21006954760041116,0.8336133926592125
Full,Combined minus bond,6,0.07007872650664379,0.2205790289414724,0.8254202313575562
Full,Combined minus bond,12,0.07007872650664379,0.2460375480158613,0.8056531665754842
Development,Bond-only,3,1.0006166332436086,0.9253050231750349,0.35480726660008965
Development,Bond-only,6,1.0006166332436086,0.9604915898984362,0.3368078616823178
Development,Bond-only,12,1.0006166332436086,1.0051989877079257,0.3148010425297858
Development,Equity-derived,3,1.041510957226906,1.3989586415479063,0.16182538576132632
Development,Equity-derived,6,1.041510957226906,1.4654132667225848,0.14280820003691008
Development,Equity-derived,12,1.041510957226906,1.4349614737069911,0.15129807638231102
Development,Combined,3,1.0210637952352573,1.21594340519318,0.22400648184941585
Development,Combined,6,1.0210637952352573,1.2599558133209074,0.20768530269174967
Development,Combined,12,1.0210637952352573,1.2768793549566895,0.20164484383782744
Development,Combined minus bond,3,0.020447161991648713,0.051654969720899495,0.958803618262528
Development,Combined minus bond,6,0.020447161991648713,0.05494780013646392,0.9561800503720227
Development,Combined minus bond,12,0.020447161991648713,0.05917313929144506,0.9528142038834775
Evaluation,Bond-only,3,-0.6147166233920562,-0.38118313937005316,0.7030673592211875
Evaluation,Bond-only,6,-0.6147166233920562,-0.37291727858063295,0.7092100117068099
Evaluation,Bond-only,12,-0.6147166233920562,-0.44271969580128195,0.6579684944315374
Evaluation,Equity-derived,3,-0.21121453976045948,-0.3452731210239376,0.7298890519035044
Evaluation,Equity-derived,6,-0.21121453976045948,-0.3545748039044944,0.7229081548049342
Evaluation,Equity-derived,12,-0.21121453976045948,-0.4242343926483466,0.6713948808063828
Evaluation,Combined,3,-0.4129655815762578,-0.38273903555595007,0.7019132680955511
Evaluation,Combined,6,-0.4129655815762578,-0.37595953927984416,0.7069469760004741
Evaluation,Combined,12,-0.4129655815762578,-0.4475062462404184,0.6545095789457631
Evaluation,Combined minus bond,3,0.2017510418157982,0.35485179548877294,0.7227006229166939
Evaluation,Combined minus bond,6,0.2017510418157982,0.3514807569410913,0.7252277064770138
Evaluation,Combined minus bond,12,0.2017510418157982,0.415018793458203,0.6781281453903462
2013–2023 overlap,Bond-only,3,0.6039807818374521,0.48897403120229843,0.6248600821319918
2013–2023 overlap,Bond-only,6,0.6039807818374521,0.5128641515192347,0.6080463513112906
2013–2023 overlap,Bond-only,12,0.6039807818374521,0.5745335561507654,0.565606799891241
2013–2023 overlap,Equity-derived,3,0.29920482907253293,0.5737380406343309,0.5661450821273444
2013–2023 overlap,Equity-derived,6,0.29920482907253293,0.650888460856686,0.5151184907691067
2013–2023 overlap,Equity-derived,12,0.29920482907253293,0.8247954681742672,0.4094877199800896
2013–2023 overlap,Combined,3,0.4515928054549926,0.5353268257284689,0.5924238797041226
2013–2023 overlap,Combined,6,0.4515928054549926,0.5724792952985966,0.5669973088253626
2013–2023 overlap,Combined,12,0.4515928054549926,0.6606343947768208,0.5088468059440174
2013–2023 overlap,Combined minus bond,3,-0.15238797638245988,-0.35219902872870895,0.7246890053050994
2013–2023 overlap,Combined minus bond,6,-0.15238797638245988,-0.3623803950184365,0.7170677878671171
2013–2023 overlap,Combined minus bond,12,-0.15238797638245988,-0.39203977861893974,0.6950288225112109
