sample,source_a,source_b,n,annual_mean_a_minus_b_bps,ci_low_bps,ci_high_bps,mean_p,monthly_correlation,mean_q
Full,DFPS,OSBAP,231,-2.851460034155313,-19.164721671388318,13.461801603077692,0.7319022510485977,0.9897897490091365,0.7319022510485977
Full,DFPS,ICE,231,-7.316090812363608,-28.619667208887925,13.987485584160709,0.5008806663262232,0.9767442722698931,0.7319022510485977
Full,OSBAP,ICE,231,-4.464630778208296,-20.555791322118843,11.626529765702251,0.5865661401447202,0.9748113256505977,0.7319022510485977
Evaluation,DFPS,OSBAP,70,-5.479340859033271,-14.869422019003437,3.9107403009368964,0.2527448808752154,0.9980123802263164,0.45300182569885333
Evaluation,DFPS,ICE,70,-5.78250210286971,-16.763163048038578,5.198158842299156,0.3020012171325689,0.9942812138301959,0.45300182569885333
Evaluation,OSBAP,ICE,70,-0.303161243836435,-11.575434386342796,10.969111898669926,0.9579605311803898,0.99586162364092,0.9579605311803898
