dataset,sample,n,start,end,strategy,annual_mean_pct,annual_vol_pct,sharpe,mean_bond_weight,capped_months
DFPS,Post-warmup,171,2007-09,2021-11,Combined,-0.11797095215742913,2.6887047351432383,-0.04387649957076612,,0
DFPS,Post-warmup,171,2007-09,2021-11,Bond-only,-0.192157763551517,3.637786105362272,-0.052822721838501493,,0
DFPS,Post-warmup,171,2007-09,2021-11,Risk-scaled bond,-0.2096284235034262,2.759729027562846,-0.07595978496792923,0.7242894781521353,0
DFPS,Evaluation,70,2016-02,2021-11,Combined,-0.4598625246233782,2.066625278284215,-0.22251858111654,,0
DFPS,Evaluation,70,2016-02,2021-11,Bond-only,-0.5422160662773561,3.1296820836307124,-0.17324956714080575,,0
DFPS,Evaluation,70,2016-02,2021-11,Risk-scaled bond,-0.3227266753982064,2.168259998704768,-0.14884131773449233,0.693155493174417,0
OSBAP,Post-warmup,171,2007-09,2021-11,Combined,-0.07556512272595704,2.705929428129018,-0.0279257551732255,,0
OSBAP,Post-warmup,171,2007-09,2021-11,Bond-only,0.033794501496635876,3.714214967277089,0.009098692938984843,,0
OSBAP,Post-warmup,171,2007-09,2021-11,Risk-scaled bond,-0.02530232745969007,2.784109576513627,-0.009088121988134768,0.716612695705801,0
OSBAP,Evaluation,70,2016-02,2021-11,Combined,-0.40506911603304563,2.0754141693067987,-0.19517507494339847,,0
OSBAP,Evaluation,70,2016-02,2021-11,Bond-only,-0.4932211951245541,3.144259113769795,-0.15686404245902266,,0
OSBAP,Evaluation,70,2016-02,2021-11,Risk-scaled bond,-0.286217901347778,2.189173836894329,-0.13074242735963854,0.69649227364993,0
ICE,Post-warmup,171,2007-09,2021-11,Combined,-0.03174396121447484,2.7390565884036326,-0.011589377652462355,,0
ICE,Post-warmup,171,2007-09,2021-11,Bond-only,-0.06585693029651564,3.821472055981862,-0.017233393135356795,,0
ICE,Post-warmup,171,2007-09,2021-11,Risk-scaled bond,-0.08838167937855344,2.7939722607632613,-0.0316329838415823,0.7085294218951175,0
ICE,Evaluation,70,2016-02,2021-11,Combined,-0.40203750359468116,2.077882550122295,-0.19348422920776678,,0
ICE,Evaluation,70,2016-02,2021-11,Bond-only,-0.380848830363546,3.168720950143923,-0.12019008185187396,,0
ICE,Evaluation,70,2016-02,2021-11,Risk-scaled bond,-0.21719337685953746,2.225364575351754,-0.09759900883890299,0.6989940167567132,0
