dataset,sample,strategy,n,start,end,annual_mean_pct,annual_vol_pct,sharpe,mean_t,mean_p,mean_ci_low_pct,mean_ci_high_pct,max_pnl_drawdown_pct,worst_month_pct,market_alpha_pct,market_alpha_t,market_alpha_p,market_alpha_ci_low_pct,market_alpha_ci_high_pct,market_beta,market_r2,market_term_alpha_pct,market_term_alpha_t,market_term_alpha_p,market_term_alpha_ci_low_pct,market_term_alpha_ci_high_pct,market_term_beta,market_term_r2,term_beta,mean_q,market_alpha_q,market_term_alpha_q
ICE duration-adjusted,Full,Credit spread,231,2002-09,2021-11,10.251833515609865,14.26497582100316,0.718671636338527,2.4545997237630606,0.014104153840638116,2.065735596642225,18.43793143457751,-45.1155276186216,-21.16132676041353,4.096844953914622,1.2845103581690784,0.19896344165003155,-2.1544211869970296,10.348111094826274,1.2542534504093528,0.2643742905690769,5.6734493609016425,3.053629513713951,0.0022609110630071164,2.0318940584567624,9.315004663346524,1.9228097602889749,0.6909389450949207,-0.9069989488453253,0.14104153840638115,0.49740860412507887,0.022609110630071164
ICE duration-adjusted,Full,Bond momentum,231,2002-09,2021-11,-2.0297718799650175,9.84469767095142,-0.20617919897674766,-0.6882482155841299,0.49129648579536445,-7.8101760926442,3.750632332714165,-63.600048460491124,-19.556898190949042,-0.328196063013975,-0.12691709680001104,0.8990060147796277,-5.396577705252541,4.740185579224592,-0.34674432261757826,0.042423318830002166,-0.6040759972678742,-0.2114341926012603,0.8325484779400979,-6.203874875956788,4.99572288142104,-0.4637307207255841,0.06984644327647604,0.15870995239319033,0.6578768087192102,0.8990060147796277,0.8325484779400979
ICE duration-adjusted,Full,Low volatility,231,2002-09,2021-11,-5.713205502705244,11.384969042239062,-0.5018200296820163,-1.847115303925539,0.06473043092738126,-11.77556812917704,0.3491571237665504,-119.02737218850481,-12.894951076983649,-0.9148331635655436,-0.37386958116463803,0.7085013486950825,-5.710818423994804,3.8811520968637176,-0.9778044268301856,0.2522498870123723,-2.2576758917931565,-1.5332820960717917,0.1252063640239487,-5.143671077709289,0.6283192941229754,-1.5472345103399854,0.7380616982952923,0.772519052699223,0.3236521546369063,0.8378229142357418,0.3130159100598717
ICE duration-adjusted,Full,Equity momentum,231,2002-09,2021-11,0.7409427419446718,7.301616868992101,0.10147652982057247,0.5353883920969279,0.592381315206469,-1.9715698856145714,3.4534553695039145,-20.121191329817872,-10.85253559042218,3.3750458032969894,2.5495754244015343,0.010785417843581616,0.780460951580014,5.969630655013965,-0.5367731914232874,0.18481373460217188,2.8091130076445054,2.1514816830444143,0.031438200054073814,0.2500108138520566,5.368215201436955,-0.7767559923240838,0.3945980988759773,0.3255733959001464,0.6578768087192102,0.10785417843581616,0.15719100027036906
ICE duration-adjusted,Full,Equity value,231,2002-09,2021-11,0.7961570668417304,6.814274323019971,0.11683666214495558,0.442846441959803,0.6578768087192102,-2.727565160899313,4.3198792945827735,-38.59671417867395,-9.47947913826616,-1.6713690423163376,-1.0728288914924837,0.2833478953366342,-4.724869324530702,1.3821312398980259,0.5028284139547217,0.1862048917269834,-1.0573086112843588,-0.940961825304467,0.3467244225521785,-3.259656062996123,1.1450388404274054,0.7632196535037625,0.46977762821392643,-0.35326056619230173,0.6578768087192102,0.5077010450178984,0.4953206036459693
ICE duration-adjusted,Full,Equity profitability,231,2002-09,2021-11,-0.7840133694649354,4.036214897871376,-0.19424470433385727,-0.8419913026419897,0.39979282177553654,-2.609051465855648,1.041024726925777,-34.243868171525754,-6.95501168335127,0.45853881163840476,0.49693250261262284,0.6192366502344215,-1.3500288833426402,2.26710650661945,-0.2532052407313146,0.13458216442965643,0.2553763407085486,0.30307415961465983,0.7618333462277539,-1.3961588097152222,1.9069114911323197,-0.33935592714888035,0.2230570244711798,0.11687659045070516,0.6578768087192102,0.8378229142357418,0.8325484779400979
ICE duration-adjusted,Full,Bond-only,231,2002-09,2021-11,0.8362853776465351,3.189951515804115,0.2621624101505274,1.003098742597918,0.31581322132883227,-0.797770444158271,2.470341199451341,-14.900349113689426,-4.747241517021159,0.9512719091117019,1.026575008435904,0.304620627010739,-0.8649547928218358,2.7674986110452395,-0.02343176634613703,0.0018451538418166047,0.9372324906135383,0.9932390543825065,0.3205934701726676,-0.91224742411311,2.7867124053401864,-0.02938515692553135,0.002521566224777283,0.008076685415695976,0.6578768087192102,0.5077010450178984,0.4953206036459693
ICE duration-adjusted,Full,Equity-derived,231,2002-09,2021-11,0.2510288131071556,2.015204888301374,0.12456738992864841,0.6181373536641158,0.5364848011920322,-0.5449374406283809,1.046995066842692,-9.248683337965815,-3.302842151691444,0.7207385242063528,1.7815533019416767,0.07482210541361467,-0.07219172711132438,1.51366877552403,-0.09571667273329346,0.07714849549354652,0.669060245689565,1.5761901802740708,0.1149819808949845,-0.16291935801760063,1.5010398493967307,-0.11763075532306722,0.10011310867377043,0.029729806719516604,0.6578768087192102,0.37411052706807335,0.3130159100598717
ICE duration-adjusted,Full,Combined,231,2002-09,2021-11,0.5436570953768454,2.342176597343972,0.23211618457521627,0.9472631993662494,0.34350467819482033,-0.5812339672671138,1.6685481580208046,-11.928222854025327,-3.8962596436866144,0.8360052166590272,1.3636926243389993,0.17266432636958695,-0.36556337395055466,2.0375738072686094,-0.059574219539715215,0.022124228677431357,0.8031463681515524,1.2557664952442649,0.2092006424881505,-0.45040426211179485,2.0566969984148997,-0.07350795612429925,0.028997237156960676,0.01890324606760628,0.6578768087192102,0.49740860412507887,0.418401284976301
ICE duration-adjusted,Full,Combined minus bond,231,2002-09,2021-11,-0.2926282822696896,1.2777439079727895,-0.22901950887322983,-0.9226016412923266,0.35621484004545967,-0.9142957577851182,0.32903919324573894,-9.975220799068405,-1.6771111110001018,-0.1152666924526745,-0.31331596395295364,0.7540406228121677,-0.8363366129153477,0.6058032280099985,-0.03614245319357822,0.02736139946802263,-0.13408612246198645,-0.37737384649630784,0.7058958000518107,-0.8305011031648548,0.562328858240882,-0.04412279919876794,0.034936820359565024,0.010826560651910316,0.6578768087192102,0.8378229142357418,0.8325484779400979
