Date,AGG_Adjusted_Return,IGSB_Adjusted_Return,LQD_Adjusted_Return,HYG_Adjusted_Return,SHYG_Adjusted_Return
2014-08-31,0.15659087022073365,0.5,0.05,0.05,0.24340912977926654
2014-09-30,0.18997373159456343,0.4999999999999998,0.050000000000000086,0.05,0.21002626840543706
2014-10-31,0.3499999999999996,0.4999999999999994,0.050000000000000794,0.05000000000000017,0.05
2014-11-30,0.3499999999999995,0.5,0.05000000000000017,0.05,0.050000000000000114
2014-12-31,0.34999999999999964,0.5,0.05,0.05000000000000003,0.0500000000000001
2015-01-31,0.3500000000000001,0.4999999999999998,0.05000000000000005,0.05000000000000017,0.05
2015-02-28,0.22222799609365632,0.49999999999999967,0.05000000000000011,0.05000000000000021,0.17777200390634357
2015-03-31,0.23283892404774736,0.4999999999999995,0.050000000000000044,0.05000000000000022,0.16716107595225277
2015-04-30,0.22644885806233267,0.4999999999999998,0.05,0.05000000000000001,0.1735511419376674
2015-05-31,0.222237307254629,0.4999999999999995,0.05000000000000016,0.050000000000000086,0.1777626927453713
2015-06-30,0.14945286700766322,0.5,0.05000000000000006,0.05,0.25054713299233666
2015-07-31,0.16598114786552381,0.4999999999999999,0.05000000000000012,0.050000000000000315,0.23401885213447587
2015-08-31,0.1712969773655442,0.5,0.05,0.05,0.2287030226344563
2015-09-30,0.18768826015963694,0.49999999999999906,0.0500000000000002,0.05000000000000033,0.21231173984036353
2015-10-31,0.28037548178972616,0.49999999999999983,0.050000000000000176,0.05000000000000002,0.11962451821027388
2015-11-30,0.3499999999999999,0.4999999999999997,0.05000000000000006,0.05,0.05000000000000015
2015-12-31,0.3499999999999997,0.4999999999999997,0.05000000000000024,0.05,0.050000000000000246
2016-01-31,0.35000000000000003,0.5,0.05,0.05,0.05000000000000013
2016-02-29,0.34972158605643117,0.49999999999999994,0.05000000000000007,0.05000000000000004,0.05027841394356872
2016-03-31,0.35000000000000003,0.49999999999999895,0.05000000000000064,0.050000000000000044,0.05000000000000017
2016-04-30,0.34999999999999964,0.5,0.05,0.05,0.05000000000000006
2016-05-31,0.35000000000000003,0.5,0.05,0.05000000000000006,0.05
2016-06-30,0.3499999999999998,0.5,0.05000000000000025,0.05,0.05
2016-07-31,0.34999999999999987,0.5,0.05,0.05,0.05
2016-08-31,0.35,0.4999999999999999,0.05000000000000009,0.050000000000000044,0.05
2016-09-30,0.24271691877262414,0.4999999999999999,0.05000000000000007,0.05,0.15728308122737572
2016-10-31,0.05,0.3749802763182905,0.05,0.05,0.4750197236817106
2016-11-30,0.05,0.5,0.050000000000000044,0.05,0.3500000000000002
2016-12-31,0.05000000000000013,0.4999999999999999,0.05000000000000018,0.050000000000000024,0.3499999999999997
2017-01-31,0.05000000000000021,0.4999999999999992,0.050000000000000204,0.05000000000000093,0.34999999999999937
2017-02-28,0.05000000000000026,0.5,0.05,0.05000000000000028,0.34999999999999903
2017-03-31,0.05,0.4999999999999998,0.050000000000000024,0.050000000000000114,0.35000000000000003
2017-04-30,0.05,0.5,0.05,0.05000000000000002,0.3500000000000003
2017-05-31,0.05000000000000016,0.49999999999999994,0.05000000000000004,0.05,0.3499999999999998
2017-06-30,0.05,0.5,0.05,0.05000000000000003,0.3499999999999996
2017-07-31,0.05000000000000006,0.5,0.05000000000000017,0.05,0.3499999999999999
2017-08-31,0.3499999999999995,0.49999999999999967,0.050000000000000266,0.05000000000000022,0.050000000000000114
2017-09-30,0.24106464682085216,0.5,0.05,0.05,0.15893535317914786
2017-10-31,0.16137346046167306,0.5,0.05000000000000001,0.05,0.23862653953832683
2017-11-30,0.07905744919098866,0.4999999999999998,0.05000000000000052,0.05000000000000003,0.320942550809011
2017-12-31,0.152678709026051,0.5,0.05,0.08972472138523468,0.20759656958871434
2018-01-31,0.18880157224223876,0.5,0.05,0.08019945529263521,0.18099897246512583
2018-02-28,0.05,0.49999999999999967,0.05,0.11781076404316568,0.28218923595683476
2018-03-31,0.05,0.5,0.05,0.05000000000000006,0.3499999999999999
2018-04-30,0.05000000000000007,0.49999999999999967,0.05,0.14941277404844647,0.2505872259515538
2018-05-31,0.056473568471445384,0.4999999999999999,0.05,0.1669924820510334,0.2265339494775214
2018-06-30,0.05,0.5,0.05,0.15871384016015644,0.24128615983984347
2018-07-31,0.05000000000000008,0.49999999999999994,0.05000000000000001,0.17232532985215926,0.22767467014784062
2018-08-31,0.05000000000000017,0.4999999999999996,0.05,0.0500000000000002,0.3500000000000004
2018-09-30,0.05,0.49999999999999994,0.05,0.05000000000000001,0.3500000000000002
2018-10-31,0.05000000000000014,0.49999999999999994,0.050000000000000024,0.05,0.3499999999999999
2018-11-30,0.2781209072607002,0.49999999999999994,0.05,0.05000000000000004,0.12187909273929984
2018-12-31,0.2917971181194074,0.5,0.05000000000000003,0.05000000000000003,0.10820288188059253
2019-01-31,0.18933008966052486,0.5,0.05,0.05,0.21066991033947496
2019-02-28,0.34999999999999987,0.5,0.05,0.05,0.050000000000000044
2019-03-31,0.35000000000000003,0.4999999999999998,0.0500000000000001,0.05000000000000001,0.05
2019-04-30,0.3499999999999998,0.5,0.050000000000000114,0.05,0.05
2019-05-31,0.337548061769924,0.5,0.05,0.05000000000000006,0.06245193823007608
2019-06-30,0.345783869832448,0.49999999999999994,0.05,0.050000000000000044,0.054216130167552085
2019-07-31,0.35,0.5,0.05,0.05000000000000005,0.05
2019-08-31,0.33975701533703145,0.5,0.05,0.05000000000000013,0.060242984662968416
2019-09-30,0.2865865355923187,0.49999999999999983,0.05,0.05,0.11341346440768138
