Date,AGG_Adjusted_Return,IGSB_Adjusted_Return,LQD_Adjusted_Return,HYG_Adjusted_Return,SHYG_Adjusted_Return
2014-08-31,0.3500000000000003,0.04999999999999999,0.4999999999999999,0.050000000000000044,0.04999999999999999
2014-09-30,0.3500000000000001,0.05000000000000021,0.5,0.04999999999999999,0.04999999999999999
2014-10-31,0.5,0.05,0.3499999999999987,0.050000000000000495,0.05000000000000074
2014-11-30,0.5,0.05,0.3499999999999997,0.050000000000000856,0.05
2014-12-31,0.49999999999999967,0.05000000000000012,0.34999999999999987,0.05,0.05000000000000061
2015-01-31,0.4999999999999986,0.05000000000000071,0.3499999999999978,0.05000000000000161,0.05000000000000113
2015-02-28,0.5,0.05,0.35000000000000014,0.05,0.05
2015-03-31,0.49999999999999895,0.3499999999999937,0.050000000000007316,0.050000000000000225,0.05
2015-04-30,0.4999999999999997,0.3500000000000001,0.05000000000000014,0.05,0.05000000000000006
2015-05-31,0.35000000000034365,0.49999999999961686,0.05000000000002176,0.05000000000000974,0.05000000000000789
2015-06-30,0.1509374448398017,0.49999999999999656,0.05000000000000088,0.05000000000000221,0.24906255516019848
2015-07-31,0.11826795769794102,0.4999999999990484,0.05000000000006552,0.05000000000014368,0.2817320423028015
2015-08-31,0.2544942735953007,0.49999999999965083,0.05000000000003428,0.050000000000068795,0.14550572640494527
2015-09-30,0.3500000000000019,0.5,0.05000000000000004,0.05,0.05
2015-10-31,0.05,0.35000000000000064,0.05,0.04999999999999999,0.5
2015-11-30,0.34999999999999903,0.5,0.05,0.05,0.05
2015-12-31,0.050000000000001266,0.4999999999999915,0.050000000000001106,0.3500000000000039,0.05000000000000225
2016-01-31,0.4999999995945515,0.34999999943487886,0.050000000896128355,0.05000000004597351,0.05000000002846781
2016-02-29,0.5,0.3500000000014247,0.04999999999999999,0.05,0.05
2016-03-31,0.4999999999994174,0.3499999999951045,0.05000000000519367,0.05000000000015219,0.05000000000013232
2016-04-30,0.5,0.25118151192815985,0.14881848807024473,0.05,0.05
2016-05-31,0.5,0.14517626340750422,0.2548237365922127,0.05,0.05
2016-06-30,0.4999999999999696,0.34999999999997056,0.050000000000033795,0.05000000000001514,0.050000000000010925
2016-07-31,0.4999999999999923,0.34999999999998443,0.05000000000001814,0.050000000000002896,0.05000000000000218
2016-08-31,0.5,0.3500000000000002,0.05,0.05,0.05
2016-09-30,0.471468541248297,0.05,0.05,0.05,0.378531458752469
2016-10-31,0.05,0.3060761795367378,0.05,0.0939238202782369,0.5
2016-11-30,0.05000000000234573,0.34999999990666747,0.050000000004515266,0.050000000093264343,0.49999999999320727
2016-12-31,0.05000000000214053,0.13353977411014242,0.05000000000276955,0.2664602258977403,0.49999999998720723
2017-01-31,0.05000000000000038,0.04999999999999999,0.04999999999999999,0.3500000000000001,0.5
2017-02-28,0.05,0.05,0.05,0.3500000000000343,0.5
2017-03-31,0.050000000000393695,0.05000000000029531,0.05000000000048416,0.3499999999996009,0.4999999999992259
2017-04-30,0.050000000000003764,0.050000000000001085,0.050000000000007545,0.34999999999999654,0.4999999999999911
2017-05-31,0.05000000000012551,0.17901984688548334,0.05000000000016555,0.22098015311448727,0.49999999999973843
2017-06-30,0.0500000000000961,0.34999999999544823,0.05000000000012041,0.05000000000452827,0.4999999999998071
2017-07-31,0.05000000000005198,0.050000000000027515,0.05000000000006655,0.3499999999999379,0.49999999999991596
2017-08-31,0.1892791278805308,0.4999999999990594,0.05000000000021516,0.050000000000547946,0.21072087211964655
2017-09-30,0.2091358781592859,0.49999999999882194,0.05000000000020445,0.05000000000018113,0.1908641218415067
2017-10-31,0.05000000000000099,0.4999999999999895,0.0500000000000009,0.050000000000002986,0.35000000000000564
2017-11-30,0.05000000000000131,0.4442058354463663,0.05000000000000136,0.05000000000001203,0.40579416455361905
2017-12-31,0.05,0.05,0.5,0.3500000000000001,0.05
2018-01-31,0.05000000000000007,0.05000000000000002,0.49999999999999994,0.327441539968604,0.07255846003139595
2018-02-28,0.05000000000000003,0.05000000000000008,0.09269438483312906,0.3073056151668708,0.5
2018-03-31,0.05,0.05,0.05,0.3500000000000015,0.5
2018-04-30,0.05,0.3500000000011001,0.05,0.05,0.5
2018-05-31,0.05,0.05,0.05,0.3500000000000323,0.5
2018-06-30,0.05000000000008785,0.3499999999998817,0.05000000000003076,0.05000000000003992,0.49999999999995975
2018-07-31,0.05000000000000957,0.3499999999999879,0.05000000000000396,0.05,0.49999999999999944
2018-08-31,0.05,0.3500000000253705,0.05,0.05,0.5
2018-09-30,0.05000000000034925,0.34999999999232345,0.05000000000052591,0.050000000007596496,0.499999999999205
2018-10-31,0.05,0.35000000001805376,0.05,0.05,0.5
2018-11-30,0.05000000000037187,0.49999999999057154,0.05000000000055644,0.05000000000416874,0.35000000000433135
2018-12-31,0.050000000000030714,0.49999999999929984,0.050000000000050455,0.05000000000030124,0.3500000000003177
2019-01-31,0.3500000000000008,0.49999999999999656,0.05000000000000178,0.05000000000000053,0.05000000000000017
2019-02-28,0.35000000000014414,0.49999999999910594,0.05000000000069957,0.05,0.05000000000018337
2019-03-31,0.35000000000001946,0.4999999999999764,0.05000000000000136,0.05000000000000307,0.05
2019-04-30,0.3500000000013287,0.4999999999980502,0.05000000000036474,0.05000000000013712,0.05000000000011922
2019-05-31,0.34999999999999865,0.4999999999999989,0.05000000000000167,0.050000000000000336,0.05000000000000045
2019-06-30,0.35000000000005294,0.4999999999999352,0.050000000000007414,0.05000000000000225,0.05000000000000222
